	PCO1 (46.08%)	PCO2 (12.11%)
Sample213	-0.043129436	-0.034050328
Sample214	-0.069602706	-0.00906933
Sample215	-0.047196556	-0.037084588
Sample216	0.046693114	-0.016260855
Sample217	0.042411014	0.086449231
Sample218	-0.0575559	-0.02833663
Sample219	-0.08454921	0.016449734
Sample220	-0.108758049	0.003547373
Sample221	-0.107030258	0.067314124
Sample222	-0.077448011	0.047377173
Sample223	-0.009886052	0.013409478
Sample224	0.117806575	0.026640087
Sample225	0.082498364	0.004151439
Sample226	-0.111337948	0.069930477
Sample227	-0.03861102	-0.02036356
Sample228	0.141055552	0.019145596
Sample229	-0.038451091	-0.021000195
Sample230	0.117012359	0.022249354
Sample231	-0.00984294	0.011003745
Sample232	-0.022464105	-0.023647532
Sample233	0.062486681	-0.032367596
Sample234	-0.059941408	0.03635783
Sample235	0.071266757	0.007311764
Sample236	-0.060619771	0.016166063
Sample237	-0.035635137	-0.025836975
Sample238	-0.044151406	-0.026309232
Sample239	-0.040516557	-0.014291087
Sample240	-0.082278236	-0.020149932
Sample241	-0.000644316	-0.033323829
Sample242	-0.041365981	-0.018734554
Sample243	-0.035563033	-0.000800802
Sample244	-0.03956111	-0.060883484
Sample245	0.10651015	0.020565211
Sample246	-0.014873732	-0.039232785
Sample247	0.07062409	0.007833145
Sample248	0.167783964	0.022664314
Sample249	-0.010915336	-0.033295769
Sample250	0.100612698	0.031248956
Sample251	0.018307914	-0.019472651
Sample252	0.029745676	0.016111706
Sample253	0.094705208	0.019594137
Sample254	0.129120972	0.028668951
Sample255	0.091535592	-0.023856886
Sample256	0.070163374	0.008251912
Sample257	-0.048037208	-0.052574083
Sample258	-0.013151532	-0.03450752
Sample259	0.155913442	0.011422275
Sample260	0.041696847	0.00051765
Sample261	0.033135186	-0.025245006
Sample262	-0.036580099	-0.038947484
Sample263	0.074940809	0.018395872
Sample264	-0.0215511	-0.031718722
Sample265	-0.033638522	-0.043428967
Sample266	0.017410506	-0.006181811
Sample267	0.021207546	-0.002285781
Sample268	-0.062989628	-0.025648721
Sample269	-0.051428131	0.003528697
Sample270	0.072225367	-0.017951039
Sample271	-0.01422513	-0.018870517
Sample272	0.037614032	0.047094724
Sample273	-0.18559601	0.069720238
Sample274	-0.035761753	-0.009427846
Sample275	0.072443848	-0.033852181
Sample276	-0.081235862	0.056269044
Sample277	-0.095453156	-0.034895797
Sample278	-0.075371081	-0.011005607
Sample279	0.004240103	-0.019733105
Sample280	-0.003474767	-0.011276632
Sample281	0.012196455	-0.01021902
Sample282	-0.051239425	0.010758105
Sample283	-0.116496553	0.041474745
Sample284	-0.013932412	0.011433078
Sample285	0.013948836	0.022119413
Sample286	0.180976437	0.043806166
Sample287	-0.055256176	-0.011214805
Sample288	-0.019854556	0.014046168
Sample289	-0.070966501	0.043948009
Sample290	0.096987474	-0.001865271
Sample291	0.035816278	-0.019320811
Sample292	0.135355722	0.01951453
Sample293	-0.046259819	-0.021104683
Sample294	-0.06338015	0.103199481
Sample295	0.030338172	-0.022491655
Sample296	-0.047755414	-0.022053332
Sample297	-0.01703952	-0.014924178
Sample298	0.004943828	0.007444711
Sample299	0.023680779	-0.020955211
Sample300	0.026607872	0.045954708
Sample301	0.105609567	-0.011969838
Sample302	-0.094008961	0.021351414
Sample303	-0.035207318	-0.014831437
Sample304	-0.042220435	0.049554883
Sample305	-0.022748358	-0.03684263
Sample306	-0.0612377	-0.04064767
Sample307	0.079458744	0.032058116
Sample308	0.022028893	-0.034453293
Sample309	-0.092695064	0.046542022
Sample310	0.003002394	-0.012245334
Sample311	-0.050201215	-0.022596126
Sample312	-0.029251822	-0.012121291
Sample313	0.015976328	-0.016376093
Sample314	-0.01156475	-0.027461817
Sample315	-0.05077784	0.033473211
Sample316	-0.10021247	0.053299621
Sample317	0.04663903	-0.008440591
Sample318	-0.054067552	-0.003694014
Sample319	0.015726508	0.00111717
Sample320	-0.113797856	0.061741189
Sample321	0.098494296	-0.013715709
Sample322	-0.062924717	-0.027951099
Sample323	0.000650642	-0.023801914
Sample324	0.025673372	-0.020097206
Sample325	0.119375476	0.03201736
Sample326	-0.039637118	-0.033039506
Sample327	0.056368696	0.001720815
Sample328	0.019059952	-0.007873861
Sample329	0.036987586	0.001481826
Sample330	-0.071881801	-0.016894941
Sample331	0.002436315	0.016196072
Sample332	0.014570886	0.004332675
Sample333	-0.033787376	-0.024137288
Sample334	0.022054705	-0.020249665
Sample335	0.057337874	-0.020381084
Sample336	-0.040383357	-0.003047926
Sample337	-0.060001591	-0.013966975
Sample338	-0.011675458	-0.003144644
Sample339	0.084418125	-0.003720141
Sample340	-0.010025087	-0.00273012
Sample341	0.058892068	-0.044144917
Sample342	-0.069897767	0.033342583
Sample343	-0.138147706	0.102786931
Sample344	-0.00324382	-0.005399785
Sample345	-0.054919805	0.004196684
Sample346	-0.020086714	-0.032815276
Sample347	-0.055125552	-0.023666068
Sample348	0.052277663	0.019508084
Sample349	-0.033899639	-0.010740409
Sample350	-0.036671426	-0.035191858
Sample351	0.023173754	-0.032668547
Sample352	-0.015466284	0.035233186
Sample353	-0.012822955	-0.044645136
Sample354	-0.004911655	-0.042594834
Sample355	-0.078037845	0.014976638
Sample356	0.085707493	0.000646373
Sample357	0.000935255	-0.016330281
Sample358	0.004180724	-0.028412502
Sample359	-0.034632779	-0.029909014
Sample360	0.106243449	0.04230707
Sample361	-0.010313316	-0.031560963
Sample362	-0.039321703	-0.049279634
Sample363	-0.067811239	0.043209914
Sample364	-0.082470493	-0.023693493
Sample365	-0.055079363	0.093251401
Sample366	0.031491598	0.008253254
Sample367	0.038429873	-0.007660937
Sample368	-0.015307527	0.002989876
Sample369	-0.030519504	0.015371195
Sample370	-0.040375741	-0.019286196
Sample371	0.016889118	-0.006619046
Sample372	-0.043902478	0.020425918
Sample373	-0.038039971	0.000485932
Sample374	-0.044692483	0.007125305
Sample375	-0.037467429	-0.013382934
Sample376	-0.01709097	0.013141795
Sample377	0.140405888	0.032312106
Sample378	0.018027491	0.020360237
Sample379	-0.056043306	-0.034522511
Sample380	-0.054524756	-0.015474234
Sample381	-0.018857963	-0.021710194
Sample382	-0.045417209	-0.019840569
Sample383	-0.051547458	-0.022240173
Sample384	0.064293056	0.020338613
Sample385	-0.047286988	0.045269663
Sample386	0.060616107	0.026839545
Sample387	-0.105495927	0.070919201
Sample388	-0.092019309	-0.002137127
Sample389	0.11532142	0.024225716
Sample390	-0.044124297	-0.015046562
Sample391	-0.024849761	0.013504161
Sample392	-0.039485928	-0.024753007
Sample393	0.04347345	0.015238805
Sample394	-0.029306604	-0.025575573
Sample395	-0.025958487	0.035483081
Sample396	-0.008675191	-0.048485077
Sample397	-0.006593269	-0.006868642
Sample398	0.169421408	0.022112758
Sample399	8.14E-05	0.002149728
Sample400	0.091756722	-0.001330186
Sample401	-0.058239052	-0.018942796
Sample402	-0.063547529	0.057099722
Sample403	-0.054828081	-0.007265082
Sample404	0.024521068	-0.024213943
Sample405	-0.075619461	0.046924182
Sample406	0.005265681	0.009134597
Sample407	-0.071935234	0.060661704
Sample408	-0.012720041	-0.029886616
Sample409	-0.025918807	-0.014262502
Sample410	0.080214984	0.009312804
Sample411	-0.045375159	-0.045887385
Sample412	0.161976727	0.043428074
Sample413	0.04997121	0.012107317
Sample414	-0.038590102	-0.005999891
Sample415	-0.122878119	0.041750501
Sample416	-0.001830589	0.014764083
Sample417	0.074807264	-0.015215557
Sample418	0.033998021	-0.032571754
Sample419	-0.024889393	-0.022886693
Sample420	-0.045186682	0.019277859
Sample421	0.091067805	0.009985532
Sample422	-0.03838992	-0.006831064
Sample423	0.102652369	-0.008976466
Sample424	-0.046854205	-0.032776165
Sample425	-0.001523956	-0.045742778
Sample426	0.095470825	0.020881103
Sample427	0.04636928	0.012664052
Sample428	-0.005724911	-0.022527692
Sample429	0.073139439	-0.026125983
Sample430	-0.040889686	0.01215465
Sample431	-0.078574005	0.132933237
Sample432	0.156139461	0.034631318
Sample433	-0.014961058	-0.034621768
Sample434	-0.052886247	-0.024350436
Sample435	-0.015239831	-0.025685511
Sample436	-0.102216623	0.07860336
Sample437	-0.026453417	-0.040084842
Sample438	-0.063073945	0.062459985
Sample439	0.001204992	0.029104405
Sample440	-0.04101506	0.010976704
Sample441	0.158476263	0.029567797
Sample442	-0.042531858	-0.008451971
Sample443	0.007738149	0.062567709
Sample444	-0.051222038	0.023381351
Sample445	0.133435886	0.050552994
Sample446	-0.026921182	-0.013105369
Sample447	-0.059100732	-0.028519391
Sample448	-0.023742226	-0.030510992
Sample449	-0.06446993	-0.013768533
Sample450	-0.049229324	0.001976506
Sample451	0.058178073	0.012409286
Sample452	-0.030881249	0.095347214
Sample453	0.077545009	0.013845364
Sample454	0.099958579	-0.032874492
Sample455	0.019889938	0.012056095
Sample456	0.053098999	-0.010609559
Sample457	0.071826146	0.014699748
Sample458	0.006463344	-0.019524001
Sample459	0.084627666	0.035886564
Sample460	-0.016076861	-0.043756625
Sample461	0.14231581	0.012107996
Sample462	-0.033353305	-0.048097664
Sample463	-0.036301957	0.004546817
Sample464	-0.020092652	-0.016726712
Sample465	0.041303383	-0.009279885
Sample466	0.093644403	-0.005414144
Sample467	-0.010574186	-0.009313281
Sample468	0.024876064	0.020690044
Sample469	0.060173519	-0.013374524
Sample470	-0.046039949	-0.028387548
Sample471	0.014237091	-0.017647863
Sample472	-0.052951917	0.008064979
Sample473	0.019831683	0.02034328
Sample474	-0.036284387	-0.014853452
Sample475	-0.009023177	-0.029892667
Sample476	-0.049786368	0.029333703
Sample477	0.090672861	-0.024155626
Sample478	-0.034758077	-0.059164596
Sample479	-0.002242958	-0.033721003
Sample480	0.034693418	-0.027506794
Sample481	0.079932115	0.01643142
Sample482	0.012694237	-0.022407913
Sample483	0.039129544	-0.012262338
Sample484	-0.052022546	0.016958947
Sample485	-0.030235627	-0.039319579
Sample486	0.065107903	0.0094283
Sample487	0.031505721	-0.01218876
Sample488	0.027158245	-0.004778858
Sample489	0.092246964	-0.003620042
Sample490	-0.008769806	-0.046927802
Sample491	-0.001983935	0.033389494
Sample492	-0.016345414	-0.050554461
Sample493	0.072885309	0.055058532
Sample494	-0.041036856	-0.029203818
Sample495	0.13705033	0.034635141
Sample496	0.030590834	0.000487377
Sample497	0.057835392	-0.035641116
Sample498	0.01563122	-0.023918241
Sample499	0.150717094	0.012551604
Sample500	0.139976213	0.037795809
Sample501	-0.041012839	-0.024449673
Sample502	-0.037213986	-0.040285638
Sample503	-0.021212056	-0.015258192
Sample504	0.150962717	0.017236572
Sample505	-0.057077661	-0.046783388
Sample506	0.065576269	-0.001844508
Sample507	-0.013587508	-0.019703408
Sample508	-0.055758595	-0.047305786
Sample509	0.072556208	0.004491505
Sample510	0.133623524	0.011628509
Sample511	0.047441682	-0.023462654
Sample512	0.130750541	0.027070137
Sample513	-0.011176414	0.01893527
Sample514	0.090197069	-0.004533943
Sample515	-0.012743117	-0.015167648
Sample516	0.036121222	-0.008209991
Sample517	-0.037581731	-0.02959145
Sample518	0.031444106	-0.029862678
Sample519	-0.02534874	-0.026096389
Sample520	0.071242787	-0.012731897
Sample521	0.03398746	0.004874629
Sample522	0.015950743	-0.033300509
Sample523	-0.074489284	-0.03126668
Sample524	0.024616496	-0.023803054
Sample525	-0.017970013	-0.027621536
Sample526	-0.01036018	-0.04546814
Sample527	0.011916571	-0.004139196
Sample528	0.069558769	0.008981911
Sample529	-0.005063775	-0.014360371
Sample530	-0.049996112	-0.019575756
Sample531	0.120218662	0.049540108
Sample532	0.002295379	-0.021905908
Sample533	-0.024604843	-0.016258345
Sample534	-0.039510288	-0.00793123
Sample535	0.038019104	-0.032384234
Sample536	-0.052569213	0.054081101
Sample537	-0.037591565	-0.024140812
Sample538	-0.026962612	-0.007096429
Sample539	-0.039125568	-0.009812289
Sample540	0.122636491	0.006127627
Sample541	0.097410968	0.034122342
Sample542	0.032220054	0.08778046
Sample543	0.130762329	0.014511912
Sample544	0.121932888	0.005519057
Sample545	0.001871986	0.002255608
Sample546	0.052847712	0.074216916
Sample547	-0.083451381	-0.034311468
Sample548	0.113970273	0.107336439
